,index_x,term,name,crn,course_num,section,credits,time,prof,index_y,gpa,enrollment
0,0,201702,Elementary Russian I,24151,RUSS 1001,E,4.0,12:05 pm - 12:55 pm,Tatiana   Kozhanova ,,,
1,1,201702,Elementary Russian I,22904,RUSS 1001,U,4.0,11:05 am - 11:55 am,Natasha   Anthony ,,,
2,2,201702,Elementary Russian I,22906,RUSS 1001,UA,4.0,11:05 am - 11:55 am,Natasha   Anthony ,,,
3,3,201702,Elementary Russian II,21679,RUSS 1002,C,4.0,10:05 am - 10:55 am,Natalia V  Myshkin ,,,
4,4,201702,Elementary Russian II,23577,RUSS 1002,E,4.0,12:05 pm - 12:55 pm,Natalia V  Myshkin ,,,
5,5,201702,Elementary Russian II,22907,RUSS 1002,U,4.0,4:05 pm - 4:55 pm,Natasha   Anthony ,,,
6,6,201702,Elementary Russian II,22908,RUSS 1002,UA,4.0,4:05 pm - 4:55 pm,Natasha   Anthony ,,,
7,7,201702,Intermediate Russian II,22098,RUSS 2002,G,3.0,2:05 pm - 2:55 pm,Natalia V  Myshkin ,,,
8,8,201702,Intermediate Russian II,26937,RUSS 2002,U,3.0,5:05 pm - 5:55 pm,Natasha   Anthony ,,,
9,9,201702,Intermediate Russian II,26938,RUSS 2002,UA,3.0,5:05 pm - 5:55 pm,Natasha   Anthony ,,,
10,10,201702,Advanced Russian II,22099,RUSS 3002,E,3.0,12:05 pm - 12:55 pm,Dina   Khapaeva ,,,
11,11,201702,Russian for Herit Spkrs,30931,RUSS 3005,E,3.0,12:05 pm - 12:55 pm,Dina   Khapaeva ,8553.0,4.0,1.0
12,12,201702,Intercultural Seminar,27593,RUSS 4500,G,3.0,2:05 pm - 2:55 pm,Dina   Khapaeva ,,,
13,13,201702,Intro-Environmental Sci,20714,EAS 1600,A,4.0,1:35 pm - 2:55 pm,Nicole Beth  Lopanik ,,,
14,14,201702,Habitable Planet,20305,EAS 1601,A,4.0,12:05 pm - 1:25 pm,Britney Elyce  Schmidt ,,,
15,15,201702,Environmental Measures,30178,EAS 2420,A,3.0,3:05 pm - 4:25 pm,Michael Eppard  Chang ,,,
16,16,201702,Earth Processes,21418,EAS 2600,A,4.0,9:35 am - 10:55 am,Meg Camille  Grantham ,,,
17,17,201702,Quantitative Techniques,26694,EAS 2655,A,3.0,10:05 am - 10:55 am,Takamitsu   Ito ,,,
18,18,201702,Special Topics,30900,EAS 2803,SLS,3.0,12:05 pm - 1:25 pm,Latife Beril  Toktay-Tsiotras ,,,
19,19,201702,"Energy, Environ, Society",27493,EAS 3110,A,3.0,3:05 pm - 4:25 pm,Kim M  Cobb ,,,
20,20,201702,Structural Geology,30169,EAS 4200,A,4.0,1:35 pm - 2:55 pm,Kenneth Leslie  Ferrier ,,,
21,21,201702,Paleoclim & Paleocean,30174,EAS 4350,A,3.0,12:05 pm - 1:25 pm,Jean   Lynch-Stieglitz ,,,
22,22,201702,Space Physics & Instrum.,30171,EAS 4360,A,3.0,11:05 am - 11:55 am,Carol S  Paty ,,,
23,23,201702,Environmental Field Meth,26693,EAS 4420,A,4.0,10:05 am - 10:55 am,Martial   Taillefert ,,,
24,24,201702,Synoptic Meteorology,21046,EAS 4450,A,3.0,11:05 am - 11:55 am,Mark Thomas  Jelinek ,,,
25,25,201702,Environ Data Analysis,24088,EAS 4480,A,3.0,1:35 pm - 2:55 pm,Yuhang   Wang ,,,
26,26,201702,Earth System Modeling,30167,EAS 4610,A,3.0,9:35 am - 10:55 am,Sven   Simon ,,,
27,27,201702,Atmospheric Dynamics II,28522,EAS 4670,A,3.0,3:05 pm - 4:25 pm,Yi   Deng ,,,
28,28,201702,Atmospheric Chemistry,21681,EAS 4740,A,3.0,12:05 pm - 1:25 pm,Nga Lee   Ng ,,,
29,29,201702,Special Topics,22498,EAS 4801,CP,1.0,4:35 pm - 5:55 pm,James J  Wray ,,,
30,30,201702,Special Topics,27429,EAS 4801,JD,1.0,12:05 pm - 12:55 pm,Josef D  Dufek ,,,
31,31,201702,Special Topics,25954,EAS 4803,JD1,3.0,9:35 am - 10:55 am,Josef D  Dufek ,,,
32,32,201702,Special Topics,30161,EAS 4803,JD2,3.0,12:05 pm - 1:25 pm,Josef D  Dufek ,,,
33,33,201702,Special Topics,30165,EAS 4803,YT,3.0,3:05 pm - 4:25 pm,Yuangzhi   Tang ,,,
34,34,201702,Environment Field Method,27206,EAS 6120,A,4.0,10:05 am - 10:55 am,Martial   Taillefert ,,,
35,35,201702,Earth System Modeling,30168,EAS 6130,A,3.0,9:35 am - 10:55 am,Sven   Simon ,,,
36,36,201702,Paleoclim & Paleocean,30175,EAS 6136,A,3.0,12:05 pm - 1:25 pm,Jean   Lynch-Stieglitz ,,,
37,37,201702,Isotope Geochemistry,30173,EAS 6216,A,3.0,9:05 am - 9:55 am,Christopher   Reinhard ,,,
38,38,201702,Structural Geology,30170,EAS 6320,A,4.0,1:35 pm - 2:55 pm,Kenneth Leslie  Ferrier ,,,
39,39,201702,Space Physics & Instrum.,30172,EAS 6360,A,3.0,11:05 am - 11:55 am,Carol S  Paty ,,,
40,40,201702,Atmospheric Dynamics II,28665,EAS 6670,A,3.0,3:05 pm - 4:25 pm,Yi   Deng ,,,
41,41,201702,Atmospheric Aerosols,30166,EAS 6795,A,3.0,11:05 am - 11:55 am,Rodney J.  Weber ,,,
42,42,201702,Special Topics,25955,EAS 8803,JD1,3.0,9:35 am - 10:55 am,Josef D  Dufek ,,,
43,43,201702,Special Topics,30164,EAS 8803,JD2,3.0,12:05 pm - 1:25 pm,Josef D  Dufek ,,,
44,44,201702,Special Topics,30187,EAS 8803,YT,3.0,3:05 pm - 4:25 pm,Yuangzhi   Tang ,,,
45,45,201702,"Adv Topics SE', 'SysML",26829,ASE 6005,Q,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Russell Speights  Peak ,,,
46,46,201702,System of Systems & Arch,25515,ASE 6102,Q,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Tommer Rafael  Ender ,,,
47,47,201702,System Lifecycle & Integ,25516,ASE 6103,Q,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Gary Sean  O'Neill ,,,
48,48,201702,Prin&Appl-Engr Materials,23733,MSE 2001,A1,3.0,3:05 pm - 3:55 pm,Mohan   Srinivasarao ,,,
49,49,201702,Prin&Appl-Engr Materials,23735,MSE 2001,C1,3.0,9:35 am - 10:55 am,Meisha L  Shofner ,,,
50,50,201702,Prin&Appl-Engr Materials,23736,MSE 2001,D1,3.0,3:05 pm - 4:25 pm,Jung O  Park ,,,
51,51,201702,Prin&Appl-Engr Materials,23737,MSE 2001,E1,3.0,10:05 am - 10:55 am,Faisal   Alamgir ,,,
52,52,201702,Prin&Appl-Engr Materials,23738,MSE 2001,F1,3.0,11:05 am - 11:55 am,Natalie   Stingelin ,,,
53,53,201702,Prin&Appl-Engr Materials,25532,MSE 2001,G1,3.0,9:35 am - 10:55 am,Valeria   Milam ,,,
54,54,201702,Prin&Appl-Engr Materials,25875,MSE 2001,H1,3.0,12:05 pm - 1:25 pm,Satish   Kumar ,,,
55,55,201702,Prin&Appl-Engr Materials,26060,MSE 2001,O,3.0,9:05 am - 9:55 am,Hamid   Garmestani ,,,
56,56,201702,Prin&Appl-Engr Materials,26887,MSE 2001,R,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Thomas H  Sanders ,,,
57,57,201702,Prin&Appl-Engr Materials,25441,MSE 2001,R2,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",William Brent  Carter ,,,
58,58,201702,Matls Characterization,25941,MSE 2021,A,4.0,11:05 am - 11:55 am,Faisal   Alamgir ,,,
59,59,201702,Matls Characterization,25942,MSE 2021,B,4.0,11:05 am - 11:55 am,Faisal   Alamgir ,,,
60,60,201702,Matls Characterization,25943,MSE 2021,C,4.0,11:05 am - 11:55 am,Faisal   Alamgir ,,,
61,61,201702,Matls Characterization,25944,MSE 2021,D,4.0,11:05 am - 11:55 am,Faisal   Alamgir ,,,
62,62,201702,Matls Characterization,25945,MSE 2021,E,4.0,11:05 am - 11:55 am,Faisal   Alamgir ,,,
63,63,201702,Chemical Thermo-Material,26697,MSE 3001,A,3.0,12:05 pm - 12:55 pm,Robert F  Speyer ,,,
64,64,201702,"Strct Trans-Met,Cer&Poly",20689,MSE 3002,A,3.0,9:35 am - 10:55 am,Mark D  Losego ,,,
65,65,201702,Mech Behavior-Materials,25946,MSE 3005,A,3.0,2:05 pm - 2:55 pm,Christopher Lado  Muhlstein ,,,
66,66,201702,"Elec,Optical&Magnet Prop",22670,MSE 3015,A,3.0,12:05 pm - 1:25 pm,Eric M  Vogel ,,,
67,67,201702,Materials Laboratory I,22671,MSE 3021,A,2.0,4:05 pm - 4:55 pm,Radhakrishnaiah   Parachuru ,,,
68,68,201702,Materials Laboratory I,26159,MSE 3021,B,2.0,4:05 pm - 4:55 pm,Radhakrishnaiah   Parachuru ,,,
69,69,201702,Materials Laboratory I,27747,MSE 3021,C,2.0,4:05 pm - 4:55 pm,Radhakrishnaiah   Parachuru ,,,
70,70,201702,Materials Laboratory I,27748,MSE 3021,D,2.0,4:05 pm - 4:55 pm,Radhakrishnaiah   Parachuru ,,,
71,71,201702,Stats&Numerical Methods,26698,MSE 3025,A,3.0,3:05 pm - 3:55 pm,Seung Soon   Jang ,,,
72,72,201702,Transport Phenomena,29334,MSE 3210,A,3.0,10:05 am - 10:55 am,Robert F  Speyer ,,,
73,73,201702,Operations & Mgt Methods,31291,MSE 3220,B,3.0,5:05 pm - 5:55 pm,Sundaresan   Jayaraman ,8421.0,3.61,18.0
74,74,201702,Polymer & Fiber Process,25947,MSE 3230,A,3.0,12:05 pm - 12:55 pm,Donggang   Yao ,,,
75,75,201702,Intro Poly/Fib Enterpris,25948,MSE 3720,A,3.0,12:05 pm - 1:25 pm,Radhakrishnaiah   Parachuru ,,,
76,76,201702,Materials-Electronic App,30711,MSE 4004,A,3.0,4:35 pm - 5:55 pm,Rosario A  Gerhardt ,,,
77,77,201702,Process&Apps-Engr Alloys,20690,MSE 4006,A,3.0,11:05 am - 11:55 am,Arun M  Gokhale ,,,
78,78,201702,Environ Degradation,20691,MSE 4010,A,3.0,1:05 pm - 1:55 pm,Preet M  Singh ,,,
79,79,201702,Soft Nano Bio Materials,25874,MSE 4335,A,3.0,12:05 pm - 1:25 pm,Vladimir   Tsukruk ,,,
80,80,201702,Capstone Engr Design II,25876,MSE 4420,A,3.0,2:05 pm - 2:55 pm,Mary Lynn  Realff ,,,
81,81,201702,Capstone Engr Design II,27447,MSE 4420,B,3.0,9:35 am - 10:55 am,Blair K  Brettmann ,,,
82,82,201702,Intro to Biomaterials,22260,MSE 4751,A,3.0,9:35 am - 10:55 am,Johnna S  Temenoff ,,,
83,83,201702,Elec Packaging Assembly,25006,MSE 4754,A,3.0,12:05 pm - 12:55 pm,C P  Wong ,,,
84,84,201702,Electrochem Storage,31287,MSE 4759,A,3.0,1:35 pm - 2:55 pm,Hailong   Chen ,8424.0,4.0,2.0
85,85,201702,Polymer Science & Engr I,23641,MSE 4775,A,3.0,3:05 pm - 4:25 pm,Zhiqun   Lin ,,,
86,86,201702,Composite Mater& Process,21770,MSE 4793,A,3.0,1:35 pm - 2:55 pm,Kyriaki   Kalaitzidou ,,,
87,87,201702,Special Topics,30143,MSE 4803,B,3.0,3:05 pm - 3:55 pm,Kishor Kumar  Gupta ,,,
88,88,201702,Special Topics,31003,MSE 4803,F2,3.0,3:05 pm - 4:25 pm,Paul Stephen  Russo ,,,
89,89,201702,Special Topics,26941,MSE 4803,I,3.0,4:35 pm - 5:55 pm,Gleb   Yushin ,,,
90,90,201702,Special Topics,29244,MSE 4803,R,3.0,10:05 am - 10:55 am,William Judson  Ready ,,,
91,91,201702,Functional Materials,30144,MSE 6010,A,3.0,10:05 am - 10:55 am,Meilin   Liu ,8425.0,3.58,24.0
92,92,201702,Trans Electron Microscop,21132,MSE 6110,A,3.0,3:05 pm - 3:55 pm,Joshua P  Kacher ,,,
93,93,201702,Trans Electron Microscop,31387,MSE 6110,B,3.0,3:05 pm - 3:55 pm,Joshua P  Kacher ,,,
94,94,201702,Kinetics of Phase Trans,29620,MSE 6403,A1,3.0,9:05 am - 10:25 am,Thomas H  Sanders ,,,
95,95,201702,Kinetics of Phase Trans,28638,MSE 6403,R,3.0,3:00 pm - 4:30 pm,Thomas H  Sanders ,8426.0,2.0,1.0
96,96,201702,Prep& Reactions-Polymers,27209,MSE 6750,A,3.0,12:05 pm - 1:25 pm,John Robert  Reynolds ,,,
97,97,201702,Phys Chem-Poly Solutions,20413,MSE 6751,A,3.0,11:05 am - 11:55 am,Mohan   Srinivasarao ,,,
98,98,201702,Polymer Structure& Props,21257,MSE 6768,A,3.0,3:05 pm - 4:25 pm,Karl I  Jacob ,,,
99,99,201702,Advanced Biomaterials,21834,MSE 6777,A,3.0,9:35 am - 10:55 am,Andres J.  Garcia ,,,
100,100,201702,"Math,Stat&Comp Tech-Mate",24756,MSE 6795,A,3.0,1:05 pm - 1:55 pm,Arun M  Gokhale ,,,
101,101,201702,Fatigue-Materials&Struct,21664,MSE 7774,A,3.0,1:05 pm - 1:55 pm,Richard William  Neu ,,,
102,102,201702,Special Topics,25531,MSE 8801,S,1.0,4:00 pm - 5:00 pm,Mark D  Losego ,,,
103,103,201702,Special Topics,21406,MSE 8803,B,3.0,12:05 pm - 1:25 pm,Vladimir   Tsukruk ,,,
104,104,201702,Special Topics,31004,MSE 8803,F2,3.0,3:05 pm - 4:25 pm,Paul Stephen  Russo ,,,
105,105,201702,Special Topics,25625,MSE 8803,I,3.0,4:35 pm - 5:55 pm,Gleb   Yushin ,,,
106,106,201702,Chem Process Principles,26368,CHBE 2100,A,3.0,9:05 am - 9:55 am,Rachel   Chen ,,,
107,107,201702,Chem Process Principles,22829,CHBE 2100,B,3.0,1:05 pm - 1:55 pm,Michael Aaron  Filler ,,,
108,108,201702,ChE Numerical Mthods,21712,CHBE 2120,A,3.0,8:05 am - 9:25 am,Mark P  Styczynski ,,,
109,109,201702,ChE Numerical Mthods,21713,CHBE 2120,B,3.0,9:35 am - 10:55 am,Anant Krishna  Paravastu ,,,
110,110,201702,Chem Eng Thermo I,27541,CHBE 2130,A,2.0,8:05 am - 8:55 am,Elsa   Reichmanis ,,,
111,111,201702,Chem Eng Thermo I,27543,CHBE 2130,B,2.0,8:05 am - 8:55 am,Corey J  Wilson ,,,
112,112,201702,Special Topics,27676,CHBE 2801,WJK,1.0,5:05 pm - 6:25 pm,William J.  Koros ,,,
113,113,201702,Chem Eng Thermo II,27554,CHBE 3130,A,3.0,8:05 am - 9:25 am,Ryan Paul  Lively ,,,
114,114,201702,Transport Processes I,21714,CHBE 3200,A,3.0,10:05 am - 10:55 am,Ravi   Kane ,,,
115,115,201702,Transport Processes II,21715,CHBE 3210,A,3.0,12:05 pm - 1:25 pm,Laurens Victor Adriaan  Breedveld ,,,
116,116,201702,Separations Processes,21716,CHBE 3225,A,3.0,12:05 pm - 12:55 pm,Sankar   Nair ,,,
117,117,201702,Microelec Fabrication,28583,CHBE 4050,A,3.0,2:05 pm - 2:55 pm,Paul A  Kohl ,,,
118,118,201702,Unit Operations Lab,21717,CHBE 4200,A,3.0,12:05 pm - 12:55 pm,Yonathan S  Thio ,,,
119,119,201702,Bioprocess Unit Ops,21721,CHBE 4210,A,3.0,12:05 pm - 12:55 pm,Yonathan S  Thio ,,,
120,120,201702,Kinetics&Reactor Dsgn,21725,CHBE 4300,A,3.0,1:05 pm - 1:55 pm,Carsten   Sievers ,,,
121,121,201702,Process Control,28551,CHBE 4411,A,3.0,8:05 am - 9:25 am,Yonathan S  Thio ,,,
122,122,201702,Proc& Prod Design& Econ,27478,CHBE 4510,A,2.0,11:05 am - 11:55 am,Yoshiaki   Kawajiri ,,,
123,123,201702,Chemical Process Safety,21726,CHBE 4515,A,1.0,11:05 am - 11:55 am,Yoshiaki   Kawajiri ,,,
124,124,201702,Emg Tech Forest Bioprods,30160,CHBE 4730,A,3.0,4:35 pm - 5:55 pm,Christopher O  Luettgen ,,,
125,125,201702,Electrochem Storage,30385,CHBE 4759,A,3.0,1:35 pm - 2:55 pm,Hailong   Chen ,,,
126,126,201702,"Drug Design,Devlpmnt&Delivery",22830,CHBE 4765,A,3.0,1:35 pm - 2:55 pm,Mark R  Prausnitz ,,,
127,127,201702,Pulp And Paper Lab,30162,CHBE 4767,A,3.0,3:05 pm - 5:55 pm,Yulin   Deng ,,,
128,128,201702,Polymer Science & Engr I,23644,CHBE 4775,0,3.0,3:05 pm - 4:25 pm,Zhiqun   Lin ,,,
129,129,201702,Biosystems Analysis,26164,CHBE 4782,A,3.0,3:05 pm - 4:25 pm,Omer   Inan ,,,
130,130,201702,Composite Mater& Process,25607,CHBE 4793,A,3.0,1:35 pm - 2:55 pm,Kyriaki   Kalaitzidou ,,,
131,131,201702,Spec Topic-Chemical Engr,31472,CHBE 4803,0,3.0,1:35 pm - 2:55 pm,Pamela   Peralta-Yahya ,,,
132,132,201702,Spec Topic-Chemical Engr,29682,CHBE 4803,DH,3.0,9:05 am - 9:55 am,Dennis W  Hess ,,,
133,133,201702,Spec Topic-Chemical Engr,30151,CHBE 4803,ER,3.0,9:35 am - 10:55 am,Elsa   Reichmanis ,,,
134,134,201702,Spec Topic-Chemical Engr,30147,CHBE 4803,JC,3.0,3:05 pm - 4:25 pm,Julie Anne  Champion ,,,
135,135,201702,Spec Topic-Chemical Engr,30150,CHBE 4803,JCM,3.0,12:05 pm - 12:55 pm,James Carson  Meredith ,,,
136,136,201702,Spec Topic-Chemical Engr,30141,CHBE 4803,MJR,3.0,1:35 pm - 2:55 pm,Matthew J  Realff ,,,
137,137,201702,Spec Topic-Chemical Engr,30134,CHBE 4803,SVB,3.0,3:05 pm - 3:55 pm,Sven   Behrens ,,,
138,138,201702,Microelec Fabrication,28585,CHBE 6050,A,3.0,2:05 pm - 2:55 pm,Paul A  Kohl ,,,
139,139,201702,Electrochemical Engr,30136,CHBE 6130,0,3.0,1:35 pm - 2:55 pm,Thomas   Fuller ,,,
140,140,201702,Electrochemical Engr,31592,CHBE 6130,B,3.0,1:35 pm - 2:55 pm,Thomas   Fuller ,,,
141,141,201702,Mass Transfer,28529,CHBE 6260,A,3.0,12:05 pm - 1:25 pm,Krista S  Walton ,,,
142,142,201702,Prep&Reactions-Polymers,25425,CHBE 6750,A,3.0,12:05 pm - 1:25 pm,John Robert  Reynolds ,,,
143,143,201702,Phys Chem-Poly Solutions,24783,CHBE 6751,A,3.0,11:05 am - 11:55 am,Mohan   Srinivasarao ,,,
144,144,201702,"Drug Design,Devlpmnt&Delivery",22831,CHBE 6765,A,3.0,1:35 pm - 2:55 pm,Andreas S.  Bommarius ,,,
145,145,201702,Polymer Structure& Props,24784,CHBE 6768,A,3.0,3:05 pm - 4:25 pm,Karl I  Jacob ,,,
146,146,201702,Advanced Biomaterials,24801,CHBE 6777,A,3.0,9:35 am - 10:55 am,Andres J.  Garcia ,,,
147,147,201702,Fatigue-Materials&Struct,25500,CHBE 7774,A,3.0,1:05 pm - 1:55 pm,Richard William  Neu ,,,
148,148,201702,Special Topics,31221,CHBE 8803,0,3.0,1:35 pm - 2:55 pm,Pamela   Peralta-Yahya ,,,
149,149,201702,Special Topics,30698,CHBE 8803,ER,3.0,9:35 am - 10:55 am,Elsa   Reichmanis ,,,
150,150,201702,Special Topics,30148,CHBE 8803,JC,3.0,3:05 pm - 4:25 pm,Julie Anne  Champion ,,,
151,151,201702,Special Topics,30153,CHBE 8803,JCM,3.0,12:05 pm - 12:55 pm,James Carson  Meredith ,,,
152,152,201702,Special Topics,30152,CHBE 8803,MJR,3.0,1:35 pm - 2:55 pm,Matthew J  Realff ,,,
153,153,201702,Special Topics,29640,CHBE 8803,PSE,3.0,4:35 pm - 5:55 pm,Christopher O  Luettgen ,,,
154,154,201702,Special Topics,30149,CHBE 8803,SVB,3.0,3:05 pm - 3:55 pm,Sven   Behrens ,,,
155,155,201702,Special Topics,30983,MLDR 8803,QML,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Christopher O  Luettgen ,,,
156,156,201702,Elementary Japanese I,22090,JAPN 1001,B,4.0,9:05 am - 9:55 am,Shohko   Yanagisawa ,,,
157,157,201702,Elementary Japanese I,22089,JAPN 1001,C,4.0,10:05 am - 10:55 am,Shohko   Yanagisawa ,,,
158,158,201702,Elementary Japanese I,28043,JAPN 1001,E,4.0,12:05 pm - 12:55 pm,Shohko   Yanagisawa ,,,
159,159,201702,Elementary Japanese I,22094,JAPN 1001,U,4.0,3:05 pm - 4:25 pm,Satomi   Suzuki Chenoweth ,,,
160,160,201702,Elementary Japanese I,22095,JAPN 1001,UA,4.0,3:05 pm - 4:25 pm,Satomi   Suzuki Chenoweth ,,,
161,161,201702,Elementary Japanese I,25353,JAPN 1001,UAA,4.0,4:35 pm - 5:55 pm,Satomi   Suzuki Chenoweth ,,,
162,162,201702,Elementary Japanese I,25352,JAPN 1001,UU,4.0,4:35 pm - 5:55 pm,Satomi   Suzuki Chenoweth ,,,
163,163,201702,Elementary Japanese II,27618,JAPN 1002,B,4.0,9:05 am - 9:55 am,Aya   McDaniel ,,,
164,164,201702,Elementary Japanese II,20718,JAPN 1002,C,4.0,10:05 am - 10:55 am,Aya   McDaniel ,,,
165,165,201702,Elementary Japanese II,21904,JAPN 1002,E,4.0,12:05 pm - 12:55 pm,Aya   McDaniel ,8325.0,3.38,17.0
166,166,201702,Elementary Japanese II,20719,JAPN 1002,F,4.0,1:05 pm - 1:55 pm,Aya   McDaniel ,,,
167,167,201702,Elementary Japanese II,21424,JAPN 1002,U,4.0,5:05 pm - 6:25 pm,Masato   Kikuchi ,,,
168,168,201702,Elementary Japanese II,21580,JAPN 1002,UA,4.0,5:05 pm - 6:25 pm,Masato   Kikuchi ,,,
169,169,201702,Intermediate Japanese I,22091,JAPN 2001,F,3.0,1:35 pm - 2:55 pm,Masato   Kikuchi ,8326.0,4.0,9.0
170,170,201702,Intermediate Japanese I,29271,JAPN 2001,G,3.0,2:05 pm - 2:55 pm,Shohko   Yanagisawa ,8327.0,3.92,14.0
171,171,201702,Intermediate Japanese I,26084,JAPN 2001,U,3.0,3:05 pm - 4:25 pm,Masato   Kikuchi ,,,
172,172,201702,Intermediate Japanese I,26085,JAPN 2001,UA,3.0,3:05 pm - 4:25 pm,Masato   Kikuchi ,,,
173,173,201702,Intermediate Japanese II,22092,JAPN 2002,E,3.0,12:05 pm - 12:55 pm,Kimiaki   Yamaguchi ,,,
174,174,201702,Intermediate Japanese II,28982,JAPN 2002,F,3.0,1:05 pm - 1:55 pm,Kimiaki   Yamaguchi ,,,
175,175,201702,Intermediate Japanese II,30350,JAPN 2002,H,3.0,3:05 pm - 3:55 pm,Kimiaki   Yamaguchi ,8328.0,3.07,16.0
176,176,201702,Intermediate Japanese II,27624,JAPN 2002,U,3.0,3:05 pm - 4:25 pm,Satomi   Suzuki Chenoweth ,,,
177,177,201702,Intermediate Japanese II,27625,JAPN 2002,UA,3.0,3:05 pm - 4:25 pm,Satomi   Suzuki Chenoweth ,,,
178,178,201702,Advanced Japanese I,22093,JAPN 3001,F,3.0,1:35 pm - 2:55 pm,Kimiaki   Yamaguchi ,8329.0,3.53,16.0
179,179,201702,Japn Literature Culture,30354,JAPN 4163,H,3.0,3:05 pm - 4:25 pm,Aki   Matsushima ,8330.0,3.7,11.0
180,180,201702,Intercultural Seminar,28984,JAPN 4500,I,3.0,4:35 pm - 5:55 pm,Masato   Kikuchi ,8331.0,3.57,7.0
181,181,201702,Special Topics,28985,JAPN 4813,E,3.0,12:05 pm - 1:25 pm,Rumiko S  Simonds ,,,
182,182,201702,Elementary Arabic II,22129,ARBC 1002,C,4.0,10:05 am - 10:55 am,David Jonathan  Marcus ,8045.0,3.6,6.0
183,183,201702,Elementary Arabic II,27672,ARBC 1002,E,4.0,12:05 pm - 12:55 pm,David Jonathan  Marcus ,8046.0,3.38,8.0
184,184,201702,Understand Arab Culture,30376,ARBC 1501,H,3.0,3:05 pm - 4:25 pm,Amanda   Rogers ,8047.0,3.78,25.0
185,185,201702,Intermediate Arabic II,29275,ARBC 2002,B,3.0,9:05 am - 9:55 am,David Jonathan  Marcus ,8048.0,3.4,8.0
186,186,201702,Advanced Arabic II,30377,ARBC 3002,F,3.0,1:35 pm - 2:55 pm,David Jonathan  Marcus ,8049.0,4.0,4.0
187,187,201702,Diagnostic Imaging Phys,21417,MP 4750,A,3.0,10:05 am - 10:55 am,C K  Wang ,,,
188,188,201702,Diagnostic Imaging Phys,30309,MP 4750,Q,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",C K  Wang ,,,
189,189,201702,Seminar in Medical Physics I,23812,MP 6011,A,1.0,11:05 am - 11:55 am,Anna   Erickson ,,,
190,190,201702,Seminar in Medical Physics II,23824,MP 6012,A,1.0,11:05 am - 11:55 am,Anna   Erickson ,,,
191,191,201702,Seminar in Medical Physics II,24146,MP 6012,Q,1.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Anna   Erickson ,,,
192,192,201702,Radiation Therapy Phys,29068,MP 6204,A,4.0,1:35 pm - 2:55 pm,Justin R  Roper ,,,
193,193,201702,Radiation Detection,27116,MP 6757,C,3.0,1:05 pm - 1:55 pm,C K  Wang ,,,
194,194,201702,Special Topics,29070,MP 8803,A,3.0,9:35 am - 10:55 am,Lei   Zhu ,,,
195,195,201702,Elementary German I,21675,GRMN 1001,B,3.0,9:05 am - 9:55 am,Kathrin   Koppe ,,,
196,196,201702,Elementary German I,20836,GRMN 1001,C,3.0,10:05 am - 10:55 am,Angelika P  Oswalt ,,,
197,197,201702,Elementary German I,27633,GRMN 1001,D,3.0,11:05 am - 11:55 am,Candace   McCollough ,,,
198,198,201702,Elementary German I,23571,GRMN 1001,E,3.0,12:05 pm - 12:55 pm,Angelika P  Oswalt ,,,
199,199,201702,Elementary German I,23208,GRMN 1001,F,3.0,1:05 pm - 1:55 pm,Kathrin   Koppe ,,,
200,200,201702,Elementary German I,28978,GRMN 1001,G,3.0,2:05 pm - 2:55 pm,Candace   McCollough ,,,
201,201,201702,Elementary German II,22085,GRMN 1002,C,3.0,10:05 am - 10:55 am,Kathrin   Koppe ,,,
202,202,201702,Elementary German II,20715,GRMN 1002,D,3.0,11:05 am - 11:55 am,Angelika P  Oswalt ,,,
203,203,201702,Elementary German II,22087,GRMN 1002,E,3.0,12:05 pm - 12:55 pm,Candace   McCollough ,,,
204,204,201702,Elementary German II,22086,GRMN 1002,F,3.0,1:05 pm - 1:55 pm,Mihaela   Lalic ,,,
205,205,201702,Elementary German II,27634,GRMN 1002,G,3.0,2:05 pm - 2:55 pm,Mihaela   Lalic ,,,
206,206,201702,Intermediate German I,22088,GRMN 2001,B,3.0,9:35 am - 10:55 am,Anne-Francoise   Le Lostec ,,,
207,207,201702,Intermediate German I,24150,GRMN 2001,F,3.0,1:05 pm - 1:55 pm,Angelika P  Oswalt ,,,
208,208,201702,Intermediate German II,22826,GRMN 2002,E,3.0,12:05 pm - 12:55 pm,Kathrin   Koppe ,,,
209,209,201702,Intermediate German II,27635,GRMN 2002,F,3.0,1:35 pm - 2:55 pm,Jan   Uelzmann ,,,
210,210,201702,Stylistics,30344,GRMN 3026,H,3.0,3:05 pm - 3:55 pm,Mihaela   Lalic ,8263.0,3.53,20.0
211,211,201702,Intercultural Seminar,30343,GRMN 4500,H,3.0,3:05 pm - 4:25 pm,Jan   Uelzmann ,8264.0,3.71,18.0
212,212,201702,200 Yrs of Grmn Technlgy,31234,GRMN 4694,A,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Britta   Kallin ,,,
